Date,Channel,Spend,Revenue,Clicks,Impressions
2026-03-01,Google Ads,25000,60000,1200,15000
2026-03-02,Facebook,20000,42000,1000,13000
2026-03-03,Instagram,18000,39000,900,12000
2026-03-04,LinkedIn,22000,30000,600,9000
2026-03-05,Google Ads,26000,65000,1300,16000
2026-03-06,Facebook,21000,41000,950,12500
2026-03-07,Instagram,19000,35000,850,11500
2026-03-08,LinkedIn,23000,28000,550,8500
2026-03-09,Google Ads,27000,70000,1400,17000
2026-03-10,Facebook,22000,43000,980,12800
2026-03-11,Instagram,20000,37000,870,11800
2026-03-12,LinkedIn,24000,26000,500,8000
2026-03-13,Google Ads,28000,72000,1450,17500
2026-03-14,Facebook,23000,45000,1000,13000
2026-03-15,Instagram,21000,36000,860,11700
2026-03-16,LinkedIn,25000,25000,480,7800
2026-03-17,Google Ads,29000,75000,1500,18000
2026-03-18,Facebook,24000,46000,1020,13200
2026-03-19,Instagram,22000,34000,840,11500
2026-03-20,LinkedIn,26000,24000,470,7600
2026-03-21,Google Ads,30000,78000,1550,18500
2026-03-22,Facebook,25000,48000,1050,13500
2026-03-23,Instagram,23000,33000,820,11300
2026-03-24,LinkedIn,27000,23000,450,7400
2026-03-25,Google Ads,31000,80000,1600,19000
2026-03-26,Facebook,26000,50000,1100,14000
2026-03-27,Instagram,24000,32000,800,11000
2026-03-28,LinkedIn,28000,22000,430,7200
2026-03-29,Google Ads,32000,82000,1650,19500
2026-03-30,Facebook,27000,52000,1150,14500
