Date,Product,Price,Quantity,Region,Category
01-01-2024,Product A,100,2,North,Electronics
02-01-2024,Product B,150,3,South,Clothing
03-01-2024,Product C,200,1,East,Grocery
04-01-2024,Product D,250,4,West,Furniture
05-01-2024,Product A,120,3,North,Electronics
06-01-2024,Product B,1000,2,South,Clothing
07-01-2024,Product C,220,5,East,Grocery
08-01-2024,Product D,260,6,West,Furniture
09-01-2024,Product A,130,4,North,Electronics
10-01-2024,Product B,170,3,South,Clothing
11-01-2024,Product C,210,6,East,Grocery
12-01-2024,Product D,270,2,West,Furniture
13-01-2024,Product A,140,5,North,Electronics
14-01-2024,Product B,160,4,South,Clothing
15-01-2024,Product C,230,3,East,Grocery
16-01-2024,Product D,280,20,West,Furniture
17-01-2024,Product A,150,2,North,Electronics
18-01-2024,Product B,190,5,South,Clothing
19-01-2024,Product C,240,6,East,Grocery
20-01-2024,Product D,290,3,West,Furniture
21-01-2024,Product A,160,4,North,Electronics
22-01-2024,Product B,200,6,South,Clothing
23-01-2024,Product C,250,2,East,Grocery
24-01-2024,Product D,300,5,West,Furniture
25-01-2024,Product A,170,3,North,Electronics
26-01-2024,Product B,210,7,South,Clothing
27-01-2024,Product C,260,2,East,Grocery
28-01-2024,Product D,310,6,West,Furniture
29-01-2024,Product A,180,4,North,Electronics
30-01-2024,Product B,220,5,South,Clothing
31-01-2024,Product C,270,3,East,Grocery
01-02-2024,Product D,320,6,West,Furniture
02-02-2024,Product A,190,2,North,Electronics
03-02-2024,Product B,230,7,South,Clothing
04-02-2024,Product C,280,4,East,Grocery
05-02-2024,Product D,330,5,West,Furniture
06-02-2024,Product A,200,3,North,Electronics
07-02-2024,Product B,240,6,South,Clothing
08-02-2024,Product C,290,2,East,Grocery
09-02-2024,Product D,340,8,West,Furniture
