Date,Registrations
01-03-2026,120
02-03-2026,135
03-03-2026,150
04-03-2026,160
05-03-2026,170
06-03-2026,220
07-03-2026,250
08-03-2026,130
09-03-2026,140
10-03-2026,155
11-03-2026,165
12-03-2026,180
13-03-2026,230
14-03-2026,260
15-03-2026,135
16-03-2026,145
17-03-2026,160
18-03-2026,175
19-03-2026,185
20-03-2026,240
21-03-2026,270
22-03-2026,140
23-03-2026,150
24-03-2026,165
25-03-2026,180
26-03-2026,190
27-03-2026,250
28-03-2026,280
29-03-2026,150
30-03-2026,160
31-03-2026,175
01-04-2026,190
02-04-2026,200
03-04-2026,260
04-04-2026,300
05-04-2026,160
06-04-2026,170
07-04-2026,185
08-04-2026,200
09-04-2026,210
10-04-2026,270
11-04-2026,310
