CustomerID,PurchaseDate,TransactionAmount
C001,01-03-2026,1200
C002,02-03-2026,800
C003,03-03-2026,1500
C001,05-03-2026,2000
C004,06-03-2026,500
C002,07-03-2026,900
C003,08-03-2026,1700
C005,09-03-2026,2200
C006,10-03-2026,300
C001,11-03-2026,1800
C002,12-03-2026,1000
C003,13-03-2026,1600
C004,14-03-2026,700
C005,15-03-2026,2500
C006,16-03-2026,400
C001,17-03-2026,2100
C002,18-03-2026,1100
C003,19-03-2026,1900
C004,20-03-2026,600
C005,21-03-2026,2700
C006,22-03-2026,450
C007,23-03-2026,3000
C008,24-03-2026,350
C007,25-03-2026,3200
C008,26-03-2026,500
C009,27-03-2026,2800
C010,28-03-2026,150
C009,29-03-2026,2900
C010,30-03-2026,200
