CustomerID,PurchaseDate,Amount
1001,2023-01-05,250
1002,2023-01-10,300
1003,2023-01-15,150
1001,2023-02-05,200
1002,2023-02-17,350
1004,2023-02-20,400
1001,2023-03-01,180
1003,2023-03-12,220
1005,2023-03-18,500
1002,2023-04-02,275
1004,2023-04-10,320
1005,2023-04-25,450
1001,2023-05-03,210
1003,2023-05-15,190
1006,2023-05-20,600
1002,2023-06-01,330
1004,2023-06-11,290
1005,2023-06-19,410
1001,2023-07-04,260
1006,2023-07-13,550
1003,2023-07-21,230
1002,2023-08-02,310
1005,2023-08-09,470
1004,2023-08-22,360
1001,2023-09-05,240
1006,2023-09-14,620
1003,2023-09-18,200
1002,2023-10-01,340
1004,2023-10-12,380
1005,2023-10-20,490
1001,2023-11-03,270
1003,2023-11-15,210
1006,2023-11-25,650
1002,2023-12-01,360
1004,2023-12-10,400
1005,2023-12-18,520
