CustomerID,PurchaseDate,TransactionAmount,Category,Region,Quantity
1001,2023-01-05,250,Tech,North,2
1002,2023-01-10,300,Food,South,1
1003,2023-01-15,150,Travel,East,1
1004,2023-01-20,400,Shopping,West,3
1005,2023-01-25,500,Food,North,2
1001,2023-02-05,200,Tech,South,1
1002,2023-02-10,350,Food,East,2
1003,2023-02-15,220,Travel,West,1
1004,2023-02-18,320,Shopping,North,2
1005,2023-02-22,450,Food,South,3
1006,2023-03-01,600,Tech,East,2
1001,2023-03-05,180,Shopping,West,1
1002,2023-03-10,275,Food,North,2
1003,2023-03-15,230,Travel,South,1
1004,2023-03-20,360,Tech,East,2
1005,2023-03-25,470,Food,West,3
1006,2023-04-02,550,Travel,North,2
1001,2023-04-05,210,Tech,South,1
1002,2023-04-10,330,Food,East,2
1003,2023-04-15,200,Travel,West,1
1004,2023-04-20,380,Shopping,North,2
1005,2023-04-25,490,Food,South,3
1006,2023-05-01,620,Tech,East,2
1001,2023-05-05,260,Shopping,West,1
1002,2023-05-10,310,Food,North,2
1003,2023-05-15,240,Travel,South,1
1004,2023-05-20,400,Tech,East,2
1005,2023-05-25,520,Food,West,3
1006,2023-06-02,650,Tech,North,2
1001,2023-06-05,270,Shopping,South,1
1002,2023-06-10,340,Food,East,2
1003,2023-06-15,210,Travel,West,1
1004,2023-06-20,420,Tech,North,2
1005,2023-06-25,530,Food,South,3
1006,2023-07-01,680,Tech,East,2
