Date,Product,Price,Quantity
01-01-2024,Product A,100,2
02-01-2024,Product B,150,3
03-01-2024,Product C,200,1
04-01-2024,Product A,120,4
05-01-2024,Product B,180,2
06-01-2024,Product C,220,5
07-01-2024,Product A,130,3
08-01-2024,Product B,170,2
09-01-2024,Product C,210,6
10-01-2024,Product A,140,4
11-01-2024,Product B,160,5
12-01-2024,Product C,230,3
13-01-2024,Product A,150,2
14-01-2024,Product B,190,4
15-01-2024,Product C,240,6
16-01-2024,Product A,160,3
17-01-2024,Product B,200,5
18-01-2024,Product C,250,2
19-01-2024,Product A,170,4
20-01-2024,Product B,210,3
